Product,City,Sales,Price,Total
Headphones,New York,132,649.3025699648005,85707.93923535365
Laptop,Houston,386,530.7519543048292,204870.25436166406
Keyboard,Miami,26,710.9539138762341,18484.801760782088
Headphones,Miami,269,492.14809851612495,132387.83850083762
Headphones,Chicago,281,186.8786017559007,52512.88709340809
Keyboard,Miami,374,789.2251975193266,295170.2238722281
Keyboard,Chicago,234,686.1974264672123,160570.19779332768
Headphones,Miami,442,934.6053991775692,413095.5864364856
Headphones,Chicago,22,18.797531372784512,413.5456902012593
Laptop,Los Angeles,301,152.34005904684994,45854.35777310183
Laptop,New York,286,602.9941701632971,172456.33266670298
Laptop,Los Angeles,15,586.5996133780021,8798.994200670031
Tablet,Los Angeles,343,227.115023791902,77900.45316062238
Keyboard,Miami,76,512.9984587499118,38987.8828649933
Tablet,Houston,118,776.7694400198801,91658.79392234585
Keyboard,Los Angeles,91,514.7543627280788,46842.647008255175
Laptop,New York,435,789.9334844391326,343621.0657310227
Headphones,Miami,61,921.4277921418671,56207.0953206539
Phone,Houston,161,257.50296626467207,41457.9775686122
Headphones,Miami,453,725.6165733262322,328704.3077167832
Laptop,Miami,386,893.2017820077258,344775.88785498217
Keyboard,Houston,441,226.96740418153138,100092.62524405534
Tablet,Houston,158,62.91578955644266,9940.69474991794
Headphones,New York,57,962.0315404647574,54835.79780649117
Headphones,Los Angeles,290,933.868232738538,270821.787494176
Keyboard,New York,419,127.26681527820006,53324.79560156582
Phone,Chicago,389,493.14749740707344,191834.37649135158
Keyboard,Chicago,48,899.3654232314453,43169.54031510938
Laptop,Miami,387,950.1874731773548,367722.5521196363
Laptop,Los Angeles,56,346.4062886389506,19398.752163781235
Phone,Los Angeles,476,762.456414555233,362929.2533282909
Phone,Houston,221,479.4649488719595,105961.75370070305
Keyboard,New York,64,552.3272504695196,35348.94403004926
Tablet,Los Angeles,176,730.6577314165504,128595.76072931287
Headphones,Miami,371,360.98156206095837,133924.15952461556
Laptop,Chicago,265,543.9386683322839,144143.74710805522
Headphones,Miami,66,374.02206827582285,24685.456506204308
Phone,Chicago,283,769.9025908465956,217882.43320958654
Keyboard,Houston,476,275.51086103311144,131143.16985176105
Tablet,New York,479,223.17682012798014,106901.69684130249
Phone,New York,452,463.02740361832156,209288.38643548134
Laptop,Los Angeles,152,242.62545816749434,36879.06964145914
Tablet,Miami,246,605.1278374369781,148861.4480094966
Tablet,Houston,302,766.7437596615883,231556.61541779968
Keyboard,New York,274,964.339425392856,264229.0025576425
Laptop,New York,450,874.2370674567329,393406.6803555298
Tablet,Chicago,420,479.56501139342686,201417.30478523928
Tablet,Los Angeles,492,357.12935484661233,175707.64258453326
Keyboard,Miami,427,192.16191206665425,82053.13645246136
Laptop,Miami,473,492.06499664219405,232746.74341175778
Tablet,Miami,238,212.65541304028037,50611.988303586724
Headphones,Houston,376,71.9393631000045,27049.200525601693
Keyboard,Miami,25,901.2778738470705,22531.94684617676
Phone,New York,84,867.71957596513,72888.44438107092
Phone,Miami,339,228.1821032807812,77353.73301218484
Tablet,Houston,378,802.8063929442952,303460.8165329436
Tablet,Houston,14,511.93618910806384,7167.106647512894
Laptop,Los Angeles,473,666.2137091779128,315119.08444115275
Headphones,Chicago,299,12.845838801811212,3840.9058017415523
Headphones,Chicago,475,323.67925853473395,153747.6478039986
Keyboard,Miami,192,130.69283959783928,25093.025202785142
Tablet,Los Angeles,406,68.3285431301943,27741.388510858887
Keyboard,Los Angeles,410,491.3676604232688,201460.7407735402
Laptop,Houston,30,975.0903078933281,29252.709236799845
Phone,Los Angeles,369,207.33106650840762,76505.16354160241
Laptop,Miami,487,28.3798761129882,13820.999667025253
Keyboard,New York,459,272.38994983518637,125026.98697435054
Headphones,Miami,472,314.3616991648861,148378.72200582625
Headphones,Houston,194,975.3156070546355,189211.2277685993
Headphones,Miami,366,349.2109918371366,127811.22301239199
Tablet,Houston,374,239.93572189439647,89735.95998850428
Keyboard,Miami,274,369.4873475081915,101239.53321724446
Tablet,Chicago,184,704.0849674517898,129551.63401112932
Laptop,New York,83,894.7258452574431,74262.24515636778
Phone,New York,247,487.62357725080983,120443.02358095003
Phone,New York,190,107.34322960604304,20395.21362514818
Headphones,Chicago,61,587.2207829244182,35820.46775838951
Keyboard,New York,156,131.09064757411466,20450.141021561885
Keyboard,Los Angeles,389,362.30781873124255,140937.74148645336
Keyboard,Miami,123,809.9525714318003,99624.16628611143
Tablet,New York,173,325.56907115981517,56323.44931064802
Phone,New York,309,415.22524617633565,128304.60106848771
Keyboard,Miami,268,586.3952303980374,157153.92174667402
Phone,Los Angeles,441,63.701309695770945,28092.277575834985
Headphones,New York,464,645.6305705131495,299572.58471810137
Keyboard,New York,443,662.9956956606782,293707.09317768045
Headphones,Los Angeles,427,592.7303580850321,253095.8629023087
Keyboard,Los Angeles,462,546.3974506998175,252435.62222331567
Keyboard,New York,366,556.2475394009599,203586.59942075133
Keyboard,Houston,416,101.45966625342027,42207.22116142283
Headphones,Houston,68,761.0908657566756,51754.17887145394
Headphones,Miami,352,506.4941726344655,178285.94876733184
Keyboard,Houston,104,141.75967617892385,14743.00632260808
Keyboard,Miami,23,335.12262158293953,7707.820296407609
Laptop,Los Angeles,448,785.2021416670768,351770.5594668504
Headphones,Houston,199,696.2354953750868,138550.86357964226
Headphones,Miami,386,206.19597641771125,79591.64689723654
Tablet,New York,214,194.5632821362414,41636.54237715566
Tablet,Chicago,118,277.24920053108923,32715.40566266853
Headphones,New York,330,817.5791330264892,269801.11389874143
